id	rate
1001	0.123
1003	0.116
1005	0.273
1007	0.212
1009	0.120
1011	0.203
1013	0.206
1015	0.172
1017	0.204
1019	0.309
1021	0.137
1023	0.258
1025	0.241
1027	0.175
1029	0.150
1031	0.118
1033	0.166
1035	0.233
1037	0.337
1039	0.190
1041	0.142
1043	0.150
1045	0.126
1047	0.234
1049	0.149
1051	0.104
1053	0.201
1055	0.171
1057	0.204
1059	0.135
1061	0.228
1063	0.268
1065	0.237
1067	0.173
1069	0.128
1071	0.165
1073	0.126
1075	0.228
1077	0.156
1079	0.163
1081	0.207
1083	0.112
1085	0.178
1087	0.278
1089	0.109
1091	0.214
1093	0.269
1095	0.125
1097	0.140
1099	0.256
1101	0.162
1103	0.134
1105	0.249
1107	0.201
1109	0.199
1111	0.219
1113	0.128
1115	0.132
1117	0.065
1119	0.337
1121	0.232
1123	0.164
1125	0.158
1127	0.185
1129	0.188
1131	0.319
1133	0.209
2013	0.283
2016	0.174
2020	0.053
2050	0.089
2060	0.067
2068	0.049
2070	0.086
2090	0.055
2100	0.114
2105	0.157
2110	0.059
2122	0.085
2130	0.087
2150	0.058
2164	0.097
2170	0.079
2180	0.101
2185	0.061
2188	0.080
2195	0.080
2198	0.126
2220	0.065
2230	0.054
2240	0.085
2261	0.075
2270	0.107
2275	0.105
2282	0.077
2290	0.137
4001	0.238
4003	0.151
4005	0.164
4007	0.220
4009	0.169
4011	0.101
4012	0.271
4013	0.127
4015	0.216
4017	0.210
4019	0.170
4021	0.141
4023	0.178
4025	0.218
4027	0.139
5001	0.148
5003	0.156
5005	0.209
5007	0.085
5009	0.145
5011	0.203
5013	0.236
5015	0.166
5017	0.231
5019	0.221
5021	0.313
5023	0.159
5025	0.163
5027	0.223
5029	0.173
5031	0.150
5033	0.156
5035	0.167
5037	0.152
5039	0.193
5041	0.194
5043	0.190
5045	0.110
5047	0.187
5049	0.275
5051	0.184
5053	0.111
5055	0.132
5057	0.174
5059	0.187
5061	0.153
5063	0.167
5065	0.240
5067	0.218
5069	0.195
5071	0.156
5073	0.269
5075	0.231
5077	0.345
5079	0.293
5081	0.185
5083	0.168
5085	0.099
5087	0.192
5089	0.220
5091	0.151
5093	0.182
5095	0.257
5097	0.239
5099	0.187
5101	0.235
5103	0.187
5105	0.148
5107	0.240
5109	0.181
5111	0.197
5113	0.204
5115	0.179
5117	0.211
5119	0.112
5121	0.213
5123	0.258
5125	0.085
5127	0.177
5129	0.304
5131	0.155
5133	0.139
5135	0.252
5137	0.229
5139	0.172
5141	0.198
5143	0.131
5145	0.149
5147	0.224
5149	0.139
6001	0.102
6003	0.644
6005	0.189
6007	0.200
6009	0.165
6011	0.079
6013	0.100
6015	0.219
6017	0.109
6019	0.149
6021	0.126
6023	0.184
6025	0.145
6027	0.104
6029	0.142
6031	0.123
6033	0.204
6035	0.213
6037	0.134
6039	0.147
6041	0.100
6043	0.176
6045	0.169
6047	0.157
6049	0.210
6051	0.101
6053	0.102
6055	0.104
6057	0.156
6059	0.101
6061	0.078
6063	0.172
6065	0.118
6067	0.125
6069	0.092
6071	0.124
6073	0.105
6075	0.128
6077	0.116
6079	0.155
6081	0.062
6083	0.111
6085	0.079
6087	0.120
6089	0.164
6091	0.249
6093	0.240
6095	0.107
6097	0.107
6099	0.153
6101	0.108
6103	0.160
6105	0.277
6107	0.137
6109	0.208
6111	0.085
6113	0.175
6115	0.116
8001	0.106
8003	0.161
8005	0.094
8007	0.140
8009	0.200
8011	0.453
8013	0.140
8014	0.053
8015	0.153
8017	0.110
8019	0.152
8021	0.147
8023	0.296
8025	0.928
8027	0.314
8029	0.143
8031	0.117
8033	0.159
8035	0.036
8037	0.078
8039	0.106
8041	0.093
8043	0.226
8045	0.072
8047	0.101
8049	0.139
8051	0.178
8053	0.178
8055	0.275
8057	0.247
8059	0.088
8061	0.140
8063	0.130
8065	0.129
8067	0.108
8069	0.126
8071	0.206
8073	0.165
8075	0.193
8077	0.096
8079	0.159
8081	0.090
8083	0.138
8085	0.147
8087	0.097
8089	0.175
8091	0.161
8093	0.153
8095	0.110
8097	0.081
8099	0.168
8101	0.167
8103	0.071
8105	0.146
8107	0.087
8109	0.252
8111	0.210
8113	0.117
8115	0.117
8117	0.095
8119	0.107
8121	0.148
8123	0.100
8125	0.093
9001	0.085
9003	0.115
9005	0.097
9007	0.074
9009	0.120
9011	0.089
9013	0.106
9015	0.107
10001	0.108
10003	0.094
10005	0.109
11001	0.130
12001	0.206
12003	0.145
12005	0.113
12007	0.207
12009	0.153
12011	0.128
12013	0.268
12015	0.217
12017	0.230
12019	0.100
12021	0.163
12023	0.192
12027	0.258
12029	0.282
12031	0.124
12033	0.145
12035	0.177
12037	0.254
12039	0.201
12041	0.184
12043	0.422
12045	0.291
12047	0.278
12049	0.201
12051	0.191
12053	0.191
12055	0.204
12057	0.136
12059	0.269
12061	0.152
12063	0.211
12065	0.216
12067	0.256
12069	0.141
12071	0.155
12073	0.210
12075	0.229
12077	0.236
12079	0.222
12081	0.157
12083	0.175
12085	0.158
12086	0.172
12087	0.142
12089	0.113
12091	0.097
12093	0.192
12095	0.143
12097	0.119
12099	0.155
12101	0.155
12103	0.166
12105	0.163
12107	0.239
12109	0.102
12111	0.188
12113	0.098
12115	0.158
12117	0.111
12119	0.323
12121	0.225
12123	0.195
12125	0.232
12127	0.187
12129	0.144
12131	0.126
12133	0.260
13001	0.148
13003	0.191
13005	0.193
13007	0.249
13009	0.266
13011	0.204
13013	0.103
13015	0.150
13017	0.198
13019	0.214
13021	0.172
13023	0.204
13025	0.217
13027	0.243
13029	0.085
13031	0.272
13033	0.227
13035	0.165
13037	0.380
13039	0.095
13043	0.210
13045	0.142
13047	0.130
13049	0.333
13051	0.158
13053	0.104
13055	0.196
13057	0.073
13059	0.322
13061	0.286
13063	0.156
13065	0.179
13067	0.097
13069	0.200
13071	0.176
13073	0.065
13075	0.202
13077	0.111
13079	0.186
13081	0.244
13083	0.176
13085	0.114
13087	0.232
13089	0.126
13091	0.239
13093	0.365
13095	0.192
13097	0.126
13099	0.203
13101	0.179
13103	0.097
13105	0.186
13107	0.203
13109	0.198
13111	0.270
13113	0.117
13115	0.157
13117	0.066
13119	0.187
13121	0.147
13123	0.238
13125	0.189
13127	0.158
13129	0.143
13131	0.191
13133	0.245
13135	0.112
13137	0.158
13139	0.127
13141	0.336
13143	0.163
13145	0.115
13147	0.193
13149	0.267
13151	0.109
13153	0.099
13155	0.229
13157	0.121
13159	0.155
13161	0.179
13163	0.226
13165	0.287
13167	0.380
13169	0.148
13171	0.175
13173	0.193
13175	0.183
13177	0.099
13179	0.082
13181	0.311
13183	0.217
13185	0.172
13187	0.175
13189	0.158
13191	0.249
13193	0.268
13195	0.173
13197	0.214
13199	0.183
13201	0.182
13205	0.237
13207	0.144
13209	0.228
13211	0.151
13213	0.195
13215	0.123
13217	0.137
13219	0.094
13221	0.176
13223	0.093
13225	0.216
13227	0.142
13229	0.168
13231	0.155
13233	0.172
13235	0.281
13237	0.150
13239	0.269
13241	0.235
13243	0.251
13245	0.168
13247	0.127
13249	0.183
13251	0.190
13253	0.217
13255	0.172
13257	0.196
13259	0.421
13261	0.222
13263	0.237
13265	0.391
13267	0.253
13269	0.276
13271	0.406
13273	0.251
13275	0.206
13277	0.193
13279	0.171
13281	0.275
13283	0.277
13285	0.166
13287	0.215
13289	0.190
13291	0.245
13293	0.180
13295	0.179
13297	0.120
13299	0.196
13301	0.227
13303	0.227
13305	0.176
13307	0.361
13309	0.595
13311	0.176
13313	0.126
13315	0.279
13317	0.199
13319	0.132
13321	0.256
15001	0.157
15003	0.074
15005	0.000
15007	0.099
15009	0.100
16001	0.107
16003	0.310
16005	0.112
16007	0.127
16009	0.145
16011	0.097
16013	0.094
16015	0.306
16017	0.186
16019	0.076
16021	0.171
16023	0.198
16025	0.124
16027	0.126
16029	0.087
16031	0.094
16033	0.192
16035	0.267
16037	0.146
16039	0.071
16041	0.071
16043	0.107
16045	0.161
16047	0.129
16049	0.177
16051	0.077
16053	0.102
16055	0.132
16057	0.153
16059	0.212
16061	0.188
16063	0.098
16065	0.142
16067	0.116
16069	0.111
16071	0.127
16073	0.212
16075	0.145
16077	0.102
16079	0.206
16081	0.082
16083	0.119
16085	0.130
16087	0.184
17001	0.134
17003	0.261
17005	0.127
17007	0.090
17009	0.199
17011	0.107
17013	0.109
17015	0.175
17017	0.125
17019	0.200
17021	0.124
17023	0.119
17025	0.121
17027	0.088
17029	0.228
17031	0.126
17033	0.142
17035	0.108
17037	0.129
17039	0.104
17041	0.078
17043	0.067
17045	0.129
17047	0.113
17049	0.081
17051	0.179
17053	0.105
17055	0.161
17057	0.127
17059	0.177
17061	0.145
17063	0.054
17065	0.133
17067	0.116
17069	0.218
17071	0.154
17073	0.094
17075	0.126
17077	0.291
17079	0.095
17081	0.145
17083	0.103
17085	0.110
17087	0.171
17089	0.088
17091	0.130
17093	0.035
17095	0.202
17097	0.091
17099	0.105
17101	0.151
17103	0.112
17105	0.100
17107	0.140
17109	0.225
17111	0.071
17113	0.121
17115	0.114
17117	0.119
17119	0.117
17121	0.137
17123	0.104
17125	0.147
17127	0.144
17129	0.091
17131	0.100
17133	0.048
17135	0.146
17137	0.137
17139	0.096
17141	0.101
17143	0.130
17145	0.213
17147	0.080
17149	0.135
17151	0.271
17153	0.225
17155	0.094
17157	0.159
17159	0.125
17161	0.108
17163	0.144
17165	0.178
17167	0.132
17169	0.153
17171	0.108
17173	0.104
17175	0.103
17177	0.134
17179	0.097
17181	0.182
17183	0.147
17185	0.108
17187	0.134
17189	0.102
17191	0.111
17193	0.146
17195	0.115
